school,Metric,score
ILLINOIS,H-Index POLS +IR16,4.125
NORTHWESTERN,H-Index POLS +IR16,1.375
GEORGE WASHINGTON,H-Index POLS +IR16,1.9
EMORY,H-Index POLS +IR16,3
OHIO STATE,H-Index POLS +IR16,1.923076923
FLORIDA STATE,H-Index POLS +IR16,1.2
INDIANA,H-Index POLS +IR16,3.9
MINNESOTA,H-Index POLS +IR16,1.7
MARYLAND,H-Index POLS +IR16,0.4
BINGHAMTON,H-Index POLS +IR16,1.285714286
MICHIGAN STATE,H-Index POLS +IR16,1.5
STONY BROOK,H-Index POLS +IR16,0
CORNELL,H-Index POLS +IR16,1.333333333
PENN,H-Index POLS +IR16,2.3
PITTSBURGH,H-Index POLS +IR16,1.1
VANDERBILT,H-Index POLS +IR16,1.333333333
UC RIVERSIDE,H-Index POLS +IR16,2
TEXAS AUSTIN,H-Index POLS +IR16,2.555555556
COLORADO,H-Index POLS +IR16,5
IOWA,H-Index POLS +IR16,3.2
ARIZONA,H-Index POLS +IR16,1.5
BROWN,H-Index POLS +IR16,1.857142857
UC IRVINE,H-Index POLS +IR16,1.714285714
NOTRE DAME,H-Index POLS +IR16,2.0625
VIRGINIA,H-Index POLS +IR16,1.6
UC SANTA BARBARA,H-Index POLS +IR16,3.666666667
GEORGETOWN,H-Index POLS +IR16,4.043478261
OREGON,H-Index POLS +IR16,1.8
JOHNS HOPKINS,H-Index POLS +IR16,0.777777778
SYRACUSE,H-Index POLS +IR16,1.363636364
STANFORD,TRIP Pubs,8.545454545
HARVARD,TRIP Pubs,4
MICHIAN AA,TRIP Pubs,7.5
COLUMBIA,TRIP Pubs,10.18181818
MIT,TRIP Pubs,9.375
PRINCETON,TRIP Pubs,11.73684211
UC SAN DIEGO,TRIP Pubs,8.888888889
YALE,TRIP Pubs,8.5
NYU,TRIP Pubs,6.8125
BERKLEY,TRIP Pubs,5.6
CHICAGO,TRIP Pubs,5.666666667
WASHINGTON ST L,TRIP Pubs,7
DUKE,TRIP Pubs,9.538461538
NORTH CAROLINA CH,TRIP Pubs,4.416666667
UC DAVIS,TRIP Pubs,9.5
ROCHESTER,TRIP Pubs,4.571428571
PENN STATE,TRIP Pubs,6.333333333
RICE,TRIP Pubs,4.714285714
WISCONSIN MAD,TRIP Pubs,5.111111111
TEXAS A&M,TRIP Pubs,5.375
WASHINGTON,TRIP Pubs,4.727272727
UCLA,TRIP Pubs,4.384615385
ILLINOIS,TRIP Pubs,9.125
NORTHWESTERN,TRIP Pubs,3.5
GEORGE WASHINGTON,TRIP Pubs,6.9
EMORY,TRIP Pubs,3
OHIO STATE,TRIP Pubs,6.384615385
FLORIDA STATE,TRIP Pubs,3
INDIANA,TRIP Pubs,10.5
MINNESOTA,TRIP Pubs,6
MARYLAND,TRIP Pubs,6.3125
BINGHAMTON,TRIP Pubs,7
MICHIGAN STATE,TRIP Pubs,4.625
STONY BROOK,TRIP Pubs,3
CORNELL,TRIP Pubs,2.888888889
PENN,TRIP Pubs,7.8
PITTSBURGH,TRIP Pubs,3
VANDERBILT,TRIP Pubs,167.6666667
UC RIVERSIDE,TRIP Pubs,0.5
TEXAS AUSTIN,TRIP Pubs,96.22222222
COLORADO,TRIP Pubs,195.75
IOWA,TRIP Pubs,187.2
ARIZONA,TRIP Pubs,108.5
BROWN,TRIP Pubs,69.85714286
